ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001692742-20-000066	0001469522	Rogers Kurt	Officer	EVP & General Counsel		2355 WAUKEGAN ROAD		BANNOCKBURN	IL	60015		001-37556
0001127602-20-015167	0001184696	GRANT W THOMAS II	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0000714310-20-000102	0001270970	EDELSTEIN ERIC P	Director			1455 VALLEY ROAD		WAYNE	NJ	07470-		001-11277
0001127602-20-015166	0001447712	Sheets Jeffrey Wayne	Director			5599 SAN FELIPE, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001127602-20-015165	0001094680	DEVANNY EARL H III	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0001127602-20-015163	0001346985	Daniel Karen L	Director			1000 WALNUT ST		KANSAS CITY	MO	64106		001-36502
0000898770-20-000034	0001749320	HOLMES JACK A	Director			9220 KIRBY SUITE 500		HOUSTON	TX	77054		001-34269
0001127602-20-015162	0001462104	Seydoux Henri	Director			5599 SAN FELIPE, 17TH FLOOR		HOUSTON	TX	77056		001-04601
0001127602-20-015161	0001184683	CAPPS JOHN R	Director				1000 WALNUT ST., 7TH FLOOR	KANSAS CITY	MO	64106		001-36502
0001127602-20-015160	0001189512	BASSHAM TERRY D	Director			700 W 31ST ST., SUITE 1902		KANSAS CITY	MO	64108-3642		001-36502
0001127602-20-015158	0001770776	HARRIS CASSANDRA	Officer	EVP and CFO		C/O TUPPERWARE BRANDS CORPORATION	14901 S ORANGE BLOSSOM TRAIL	ORLANDO	FL	32837		001-11657
0001246360-20-001122	0001297907	Wright Laura	Director			ONE ENERGY PLAZA		JACKSON	MI	49201		001-09513
